id,value
id_0,5.17496039898473
id_1,18.306214253527884
id_2,20.491218094180553
id_3,11.523942869805396
id_4,26.61605675230615
id_5,20.531348081761205
id_6,21.90655101879739
id_7,31.736468747068834
id_8,13.391674055111714
id_9,64.45646650291955
id_10,20.264568836159434
id_11,15.35857607736122
id_12,68.58947276926725
id_13,48.428113747457175
id_14,18.702333824193207
id_15,10.188595737466695
id_16,30.74036285982043
id_17,71.13221776355115
id_18,-4.130517391262446
id_19,18.23569401642868
id_20,38.57892227500776
id_21,71.3115197253133
id_22,7.410348162634058
id_23,18.717955330321416
id_24,14.937250260084554
id_25,36.71973669470531
id_26,17.961697005662685
id_27,75.78946287210539
id_28,12.309310248614453
id_29,56.29535173964959
id_30,25.11316086566151
id_31,4.610248674094034
id_32,2.4837705545150186
id_33,24.759422261321248
id_34,30.480280465591157
id_35,38.46393074642664
id_36,44.20231060933004
id_37,30.086836019865984
id_38,40.4736750157401
id_39,29.226479902317386
id_40,5.606456054343951
id_41,38.66601607878963
id_42,34.61021343187721
id_43,48.3896975073848
id_44,14.757247666944162
id_45,34.4668201108721
id_46,27.483106874184347
id_47,12.000879378154046
id_48,21.37803615160376
id_49,28.544403091663284
id_50,20.165513818411576
id_51,10.79667814974648
id_52,22.171035755750097
id_53,53.44626310935229
id_54,12.219581121610055
id_55,43.30096845517151
id_56,32.18233510328544
id_57,22.5672175145708
id_58,56.73951416554707
id_59,20.745052945295456
id_60,15.028854557473316
id_61,39.85530159038513
id_62,12.975340680728312
id_63,51.74165959283005
id_64,18.783369632539838
id_65,12.348752842777685
id_66,15.63362365354191
id_67,-0.058871470685000205
id_68,41.50801107307592
id_69,31.54874753065601
id_70,18.60425115754707
id_71,37.47681972488069
id_72,56.52039065762304
id_73,6.587877193521948
id_74,12.229339737434998
id_75,5.203696404134661
id_76,47.92737510380057
id_77,13.020705685594685
id_78,17.110301693903622
id_79,20.603234531002034
id_80,21.284481560784595
id_81,38.692935290511784
id_82,30.02071667572585
id_83,88.76740666723549
id_84,35.984700239668285
id_85,26.756913553477247
id_86,23.96351684356442
id_87,32.74724282808308
id_88,22.189043755319915
id_89,20.99215885362659
id_90,29.555994316645414
id_91,40.99216886651783
id_92,8.625117809911531
id_93,32.321471808877895
id_94,46.59804436536765
id_95,22.88407082672351
id_96,31.518129728251658
id_97,11.198233479766118
id_98,28.5274366425296
id_99,0.2911506800896113
id_100,17.96696107953969
id_101,27.124163929470164
id_102,11.398232780652839
id_103,16.426426865673537
id_104,23.425261046922216
id_105,40.61608267056839
id_106,25.8641250265604
id_107,5.42273695167237
id_108,10.794921122256113
id_109,72.86213692992129
id_110,48.02283705948139
id_111,15.746808276902968
id_112,24.67041061417796
id_113,12.827793326536725
id_114,10.158057570240508
id_115,27.269223342020958
id_116,29.208738577932436
id_117,8.835339619930693
id_118,20.051088137129703
id_119,20.212333743764255
id_120,79.90600929870558
id_121,18.06161428826359
id_122,30.542809341304366
id_123,25.980792377728037
id_124,5.212577268164768
id_125,30.355697305856225
id_126,7.7683228889146285
id_127,15.32826825539334
id_128,22.666365717697936
id_129,62.742054211090064
id_130,18.950780367988038
id_131,19.076355630838528
id_132,61.371574091637086
id_133,15.884562052629676
id_134,13.409418077705531
id_135,0.8487724836112704
id_136,7.834996717304147
id_137,57.012829011796796
id_138,25.607996751813808
id_139,4.961704729242088
id_140,36.414879039062725
id_141,28.79000672197592
id_142,49.19412096197631
id_143,40.306869855734476
id_144,13.31618059398265
id_145,27.661011875229143
id_146,17.158027524366755
id_147,49.687262569296834
id_148,23.030272291604806
id_149,39.24093652484275
id_150,13.196753889412532
id_151,5.948893701039438
id_152,25.82160897630426
id_153,8.258634214291632
id_154,19.146320517225583
id_155,43.182486526516726
id_156,6.717843578093014
id_157,33.869615246810646
id_158,15.369937846981848
id_159,16.93904497355191
id_160,37.88533679463485
id_161,19.202484541054446
id_162,9.059504715654704
id_163,10.283399610648486
id_164,48.6724471256983
id_165,30.58771621323077
id_166,2.477409897532155
id_167,12.811603937805945
id_168,70.32478980976464
id_169,14.840967694067011
id_170,68.8655875667886
id_171,42.74199244486631
id_172,24.000261542920157
id_173,23.420724860321425
id_174,61.672124435682356
id_175,25.494202845059167
id_176,19.004809786869064
id_177,34.88668288189682
id_178,9.402313398379732
id_179,29.52001131440803
id_180,14.573965885700474
id_181,9.125563143203571
id_182,52.8125839981319
id_183,45.03953799438962
id_184,17.452434679183277
id_185,38.4939352797143
id_186,27.03891909264381
id_187,65.58170967424583
id_188,7.0373063807696035
id_189,52.71447713411571
id_190,38.20645933704978
id_191,21.16980105955784
id_192,30.2475568794884
id_193,2.7144229897163115
id_194,19.932932587640824
id_195,-3.4133323376039186
id_196,32.44599940281315
id_197,10.5829730299799
id_198,21.77522570725845
id_199,62.46529206567796
id_200,24.132943687316427
id_201,26.201239647400946
id_202,63.744477234402886
id_203,2.8342977741290376
id_204,14.379246986978856
id_205,9.369850731753871
id_206,9.881166613595408
id_207,3.494945358972136
id_208,122.60804937921779
id_209,21.08351301448058
id_210,17.5322205994551
id_211,20.18309834459703
id_212,36.39313221228185
id_213,34.935151205290694
id_214,18.830312661458635
id_215,38.344555522723326
id_216,77.9166341380704
id_217,1.795323550888213
id_218,13.445827939135782
id_219,36.13115559041212
id_220,15.150403498166295
id_221,12.941848334417912
id_222,113.1252409378639
id_223,15.224604677934366
id_224,14.824025968612084
id_225,59.26735368854046
id_226,10.58369529071846
id_227,20.99306256353219
id_228,9.789365880830376
id_229,4.771180008705976
id_230,47.92780690481288
id_231,12.39943839475102
id_232,48.14647656264414
id_233,40.46638039656413
id_234,16.940590270332923
id_235,41.266544489418735
id_236,69.027892033729
id_237,40.346249244122404
id_238,14.313743982871117
id_239,15.770726634219777
